data_source,supply_head_in,delivery_head_in,no_drive_pipe,drive_pipe_length_in,no_check_valve,check_valve_in,waste_valve_in,temperature_c,friction_factor_in,vol_efficiency_pct,en_efficiency_pct,delivery_flow_gpm
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,18.6,0.350825604,8.823529412,14.02567542,0.2377548
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,16.4,0.934168714,14.77272727,23.48238081,0.329686656
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,16.4,0.934168714,15.82491582,25.15491506,0.37248252
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,16.4,0.934168714,20.26578073,32.21400976,0.48343476
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,16.4,0.582232425,18.51851852,29.43660273,0.4755096
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,16.4,0.582232425,16.81521093,26.72906494,0.448564056
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,16.4,0.582232425,13.75,21.85667752,0.34870704
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,16.4,0.486891426,14.66666667,23.31378936,0.4358838
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,16.4,0.486891426,14.52054795,23.08152247,0.42003348
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,16.4,0.486891426,15.34391534,24.39032797,0.45965928
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,16.4,0.350825604,11.35734072,18.05336245,0.32493156
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,16.4,0.350825604,9.868796349,15.68720723,0.274210536
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,16.4,0.350825604,8.662345315,13.76946096,0.232999704
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,17.9,0.934168714,18.14946619,28.8499658,0.40418316
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,17.9,0.934168714,17.25352113,27.42579254,0.38833284
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,17.9,0.934168714,16.66666667,26.49294245,0.37248252
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,17.9,0.582232425,12.43432574,19.76531258,0.28134318
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,17.9,0.582232425,12.37294076,19.66773646,0.279758148
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,17.9,0.582232425,12.28070175,19.52111549,0.2773806
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,17.9,0.486891426,11.35734072,18.05336245,0.32493156
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,17.9,0.486891426,10.58756741,16.82974885,0.295608468
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,17.9,0.486891426,10.73919107,17.07076627,0.30511866
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,17.9,0.350825604,10.80921441,17.18207372,0.290060856
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,17.9,0.350825604,10.18804378,16.19467546,0.287683308
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,17.9,0.350825604,10.17096494,16.16752733,0.278173116
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,26.8,0.934168714,29.05405405,46.18364293,0.68156376
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,26.8,0.934168714,29.2358804,46.47266982,0.69741408
bhakta_2026,76.75,122,1,55.90551181,1,2,0.75,26.8,0.934168714,28.37837838,45.10960472,0.66571344
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,26.8,0.582232425,22.49134948,35.75172165,0.5151354
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,26.8,0.582232425,22.94034091,36.46542789,0.511965336
bhakta_2026,76.75,122,2,55.90551181,1,2,0.75,26.8,0.582232425,22.68967997,36.06698315,0.500077596
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,26.8,0.486891426,15.22491349,24.20116542,0.34870704
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,26.8,0.486891426,14.49814126,23.04590533,0.339989364
bhakta_2026,76.75,122,3,55.90551181,1,2,0.75,26.8,0.486891426,14.75522081,23.45455296,0.341574396
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,26.8,0.350825604,8.575241909,13.63100342,0.203676612
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,26.8,0.350825604,8.226810882,13.07714564,0.198921516
bhakta_2026,76.75,122,4,55.90551181,1,2,0.75,26.8,0.350825604,7.967479675,12.66491883,0.19416642
